index,price,area,renttype,floor,community,longtitude,latitude,bedroom,bathroom,livingroom
50,5500,58,not share,6,da yang yi bin hu tong 33 hao yuan ,116.435195,39.919148,2,1,1
51,2600,60,not share,15,ren he hua yuan yi qu ,116.692086,40.116237,1,1,1
52,4500,46,not share,6,ba li zhuang bei li xiao qu ,116.504397,39.92941,1,1,1
53,4900,58,not share,28,zhou zhuang jia yuan 6 hao yuan ,116.48491499999999,39.865454,1,1,1
54,5000,46,not share,16,zao lin qian jie ,116.362826,39.889264000000004,1,1,1
55,3600,58,not share,5,lu gou qiao nan li ,116.23870600000001,39.854003999999996,2,1,1
56,6000,63,not share,15,mei xin jia yuan ,116.350982,40.045053,1,1,1
57,1550,27,not share,14,jia zhou shui jun Q ku ,116.17468000000001,39.774205,1,1,0
58,3200,60,not share,6,nan ping li ,116.60503500000002,40.051164,2,1,1
59,3600,39,not share,5,bei yuan 135 hao yuan ,116.64417399999999,39.914072999999995,1,1,1
60,4400,45,not share,6,xi luo yuan yi qu ,116.400929,39.866858,1,1,1
61,4300,41,not share,6,wan zi jie she qu ,116.330551,39.891981,1,1,1
62,4800,56,not share,25,zhou zhuang jia yuan 6 hao yuan ,116.48491499999999,39.865454,1,1,1
63,5200,52,not share,10,ping guo pai ,116.58468,39.935758,1,1,1
64,5100,40,not share,9,guan ao yuan ,116.377572,40.039146,1,1,0
65,5900,61,not share,5,tuan jie hu bei tou tiao ,116.47059499999999,39.938853,2,1,1
66,3600,69,not share,6,yun jing li nan da men ,116.669688,39.882768,1,1,1
67,4200,42,not share,16,nan mu xi yuan ,116.409066,39.861415,1,1,1
68,2600,20,not share,16,yang zhuang xiao qu ,116.20383000000001,39.925938,1,1,0
69,4300,52,not share,29,bei hua yuan xiao qu ,116.555777,39.910745,1,1,0
70,5000,50,not share,10,xu hui ao dou ,116.42321399999999,40.051429,1,1,0
71,5800,48,not share,21,mei jing dong fang ,116.47638,39.875690999999996,1,1,1
72,3200,72,not share,6,xing zheng dong li ,116.35056499999999,39.733387,2,1,1
73,1500,26,not share,4,nan guan lu 1 hao ,116.23739499999999,40.216976,2,1,0
74,3000,71,not share,7,xin chao jia yuan er qi ,116.70323700000002,39.939938,1,1,1
75,5600,65,not share,13,lai zhen jia yuan ,116.35288200000001,40.05023,2,1,1
76,4300,56,not share,5,xin kai lu 16 hao yuan ,116.28838799999998,39.850139,2,1,1
77,6000,48,not share,6,zuo jia zhuang bei li ,116.446995,39.961109,1,1,1
78,2900,57,not share,10,shuang he bei li ,116.354697,39.745721,1,1,0
79,2600,42,not share,14,han jian qing chun zhi ,116.15316499999999,39.736272,1,1,1
80,2600,85,not share,7,xing gong yuan yi li ,116.152629,39.757427,2,1,1
81,4800,47,not share,6,song yu dong li ,116.48166200000001,39.878749,1,1,1
82,4500,83,not share,22,xin xing jia yuan ,116.27196,39.866506,2,1,1
83,4600,50,not share,18,ding fu zhuang xi jie ,116.556505,39.918741,1,1,1
84,5600,63,not share,6,mei yuan ,116.281228,40.034588,2,1,1
85,3500,63,not share,6,jing ke yuan ,116.25421200000001,40.216336,2,1,1
86,2900,44,not share,27,tong jing yuan ,116.64939,39.883912,1,1,1
87,4300,86,not share,6,ju yuan nan li ,116.430535,39.793209999999995,2,1,1
88,5000,61,not share,6,lv dao yuan dong qu ,116.554832,39.922242,2,1,1
89,2400,54,not share,6,qiao dong jie xiao qu ,116.111157,39.950866999999995,2,1,1
90,2800,42,not share,13,dong ya shou hang guo ji ,116.60523899999998,40.134877,1,1,0
91,3200,90,not share,22,da fang ju ,116.63734,39.88191,2,1,1
92,4300,65,not share,24,guan zhuang xi li ,116.594761,39.921447,2,1,1
93,2600,58,not share,6,yue ji yuan dong li ,116.11813000000001,39.936118,2,1,1
94,5600,46,not share,14,xiao guan bei li ,116.422403,39.987660999999996,1,1,1
95,3600,48,not share,12,li jing yuan ,116.709828,39.91852,1,1,1
96,3200,76,not share,12,guo rui xi shu ,116.46788400000001,40.122664,2,1,1
97,3600,42,not share,12,xin hua lian jia yuan bei qu ,116.648674,39.899289,1,1,0
98,5800,58,not share,6,jing song ba qu ,116.453783,39.887599,2,1,1
99,5500,40,not share,6,shuang hua yuan nan li ,116.46735600000001,39.906024,1,1,1
100,4200,45,not share,2,wei zi keng 1 hao yuan ,116.451751,39.852588,1,1,1
101,2600,75,not share,6,xi lu yuan san li ,116.141006,39.741613,2,1,1
102,5800,65,not share,11,shi fu ying dong li 105 hao yuan ,116.509336,39.941162,2,1,1
103,3300,90,not share,22,da fang ju ,116.63734,39.88191,2,1,1
104,2500,44,not share,15,xuan li fang ,116.61918,40.122423,2,1,0
105,5800,69,not share,3,jian cai cheng xi lu 41 hao yuan ,116.35441100000001,40.066474,2,1,1
106,3100,56,not share,5,jian xin bei qu ,116.659218,40.128885,2,1,1
107,3200,63,not share,11,tai he yuan yi li yi qu ,116.509391,39.77468,1,1,1
108,4500,44,not share,5,feng tai nan lu 130 hao ,116.29318500000001,39.846036,2,1,1
109,5100,40,not share,9,guan ao yuan ,116.377572,40.039146,1,1,0
110,3600,24,not share,4,ke yu xiao qu ,116.32811000000001,39.988335,1,0,0
111,5600,63,not share,6,mei yuan ,116.281228,40.034588,2,1,1
112,6000,30,not share,16,rong feng 2008 ,116.343245,39.900529,1,2,1
113,5600,85,not share,13,da niu fang ,116.242673,40.089838,2,1,1
114,5600,65,not share,13,lai zhen jia yuan ,116.35288200000001,40.05023,2,1,1
115,4300,56,not share,5,xin kai lu 16 hao yuan ,116.28838799999998,39.850139,2,1,1
116,4500,41,not share,6,liu li qiao bei li ,116.30936299999999,39.893795000000004,1,1,1
117,4400,45,not share,6,xi luo yuan yi qu ,116.400929,39.866858,1,1,1
118,3200,48,not share,6,bin he xi li ,116.34610900000001,39.756539000000004,1,1,1
119,2200,42,not share,15,xiang yue si ji ,116.66592299999999,40.186753,1,1,0
120,5800,56,not share,6,bei wu jia yuan nan li ,116.25774299999999,39.983618,1,1,1
121,6000,59,not share,5,zheng yuan shang feng shang shui ,116.18893500000001,40.054103000000005,3,2,0
122,3400,65,not share,6,yu qiao nan li ,116.69010800000001,39.895196,2,1,1
123,2500,45,not share,28,hei shan A1 qu ,116.101871,39.940649,1,1,0
124,5500,48,not share,6,zhou zhuang jia yuan dong li C qu ,116.480675,39.868869000000004,1,1,0
125,4800,56,not share,25,zhou zhuang jia yuan 6 hao yuan ,116.48491499999999,39.865454,1,1,1
126,5200,52,not share,10,ping guo pai ,116.58468,39.935758,1,1,1
127,5300,47,not share,10,liu lang jia yuan nan li ,116.304189,40.036204,1,1,1
128,4500,46,not share,6,ba li zhuang bei li xiao qu ,116.504397,39.92941,1,1,1
129,5500,58,not share,6,da yang yi bin hu tong 33 hao yuan ,116.435195,39.919148,2,1,1
130,6000,51,not share,6,hong ju xie jie ,116.34411899999999,39.889941,1,1,1
131,4100,46,not share,6,wu fang yuan ,116.233846,39.905003,1,1,1
132,5200,55,not share,5,gan lu yuan dong li ,116.526133,39.923479,2,1,1
133,5600,41,not share,14,ke wei su she ,116.309308,39.934037,1,1,1
134,3500,59,not share,6,yu qiao zhong lu 17 hao yuan ,116.683676,39.900565,2,1,1
135,6000,54,not share,5,xue shi ju ,116.372248,40.01614,1,1,1
136,6000,93,not share,9,jin yu kang hui yuan ,116.585426,39.911902000000005,2,1,1
137,5300,56,not share,6,qiu lu yuan ,116.26899099999999,40.058003,1,1,1
138,4800,65,not share,6,guan zhuang xi li ,116.594761,39.921447,2,1,1
139,3200,55,not share,15,long quan yuan xiao qu ,116.64216200000001,40.129402,1,1,1
140,5900,59,not share,6,mei yuan ,116.281228,40.034588,2,1,1
141,6000,56,not share,4,le dong 300 ,116.572585,39.910962,3,1,0
142,5600,81,not share,6,tuo fang ying nan li ,116.50958100000001,39.966366,2,2,1
143,3500,53,not share,10,xin cheng yang guang ,116.669921,39.887890000000006,1,1,1
144,6000,42,not share,6,xiao nan zhuang she qu ,116.31231000000001,39.971678999999995,1,1,0
145,3400,92,not share,5,wen quan hua yuan B qu ,116.42229499999999,40.133927,2,2,1
146,5400,50,not share,6,an hui li wu qu ,116.421644,39.996488,1,1,1
147,5000,51,not share,6,jiu xian qiao yi jie fang ,116.500597,39.97137,1,1,1
148,3800,104,not share,6,wen quan hua yuan B qu ,116.42229499999999,40.133927,3,1,1
149,3200,42,not share,18,yi xiu ming yuan ,116.650653,39.914862,1,1,0
150,2500,86,not share,5,long sheng yuan ,116.328202,39.626740000000005,2,1,1
151,3800,104,not share,6,wen quan hua yuan B qu ,116.42229499999999,40.133927,3,1,1
152,4700,63,not share,12,tian lun jin cheng ,116.340929,39.82227,1,1,1
153,3500,50,not share,5,ding fu zhuang xi jie ,116.556505,39.918741,2,1,1
154,4600,65,not share,10,zheng yuan shang feng shang shui ,116.18893500000001,40.054103000000005,3,1,0
155,1800,40,not share,6,xi lu yuan yi li ,116.137293,39.739245000000004,1,1,1
156,5300,60,not share,6,shi zheng wu ye xiao qu ,116.426878,39.998216,2,1,1
157,5000,73,not share,28,yan bao qi dong jia yuan ,116.539686,39.859685,2,1,1
158,2200,63,not share,5,zhong mei MIMO gong guan ,116.329311,39.638571,1,1,0
159,3300,61,not share,21,ma sai gong guan ,116.321661,39.751033,1,1,1
160,5600,55,not share,28,hua mao cheng ,116.4388,40.054941,1,1,0
161,4500,78,not share,18,chao feng jia yuan ,116.57278799999999,39.857682000000004,2,1,1
162,6000,93,not share,9,jin yu kang hui yuan ,116.585426,39.911902000000005,2,1,1
163,5600,81,not share,6,tuo fang ying nan li ,116.50958100000001,39.966366,2,2,1
164,5900,59,not share,6,mei yuan ,116.281228,40.034588,2,1,1
165,3400,92,not share,5,wen quan hua yuan B qu ,116.42229499999999,40.133927,2,2,1
166,6000,56,not share,4,le dong 300 ,116.572585,39.910962,3,1,0
167,5000,51,not share,6,jiu xian qiao yi jie fang ,116.500597,39.97137,1,1,1
168,4600,66,not share,13,xi ma jin run er qu ,116.386742,39.845372999999995,1,1,1
169,5700,115,not share,24,lv dao yuan xi qu ,116.55306100000001,39.923838,2,1,1
170,4300,47,not share,26,she ji shi guang chang ,116.29170800000001,39.844912,1,1,0
171,4100,50,not share,15,nan ting xin yuan bei qu ,116.37544399999999,39.812496,1,1,1
172,4300,41,not share,16,liu jia yao nan li ,116.42331200000001,39.867391999999995,1,1,1
173,5500,69,not share,17,hua wei bei li ,116.465147,39.883302,1,1,1
174,3200,69,not share,6,guan yin si bei li ,116.356174,39.737213,2,1,1
175,3200,48,not share,12,hua yuan xi hong shi ,116.36446000000001,39.77701,1,1,0
176,5600,54,not share,26,yuan jian ming yuan ,116.34498500000001,39.891739,1,1,1
177,4500,56,not share,28,cui cheng xin yuan ,116.509192,39.865515,1,1,1
178,2600,55,not share,6,xiang yang dong li ,116.114566,39.943825,1,1,1
179,5000,50,not share,12,tian tan dong li nan qu ,116.426375,39.880114,2,1,0
180,3400,40,not share,5,dong liu xi li ,116.578313,39.907903000000005,1,1,1
181,4000,45,not share,5,wu fang yuan ,116.233846,39.905003,1,1,1
182,6000,106,not share,15,zhao yang wang jiao ,116.59488600000002,39.910677,2,1,1
183,4900,61,not share,21,jin yu jing he yuan ,116.556703,39.957999,1,1,1
184,3200,41,not share,6,he yi dong li wu qu ,116.410743,39.821558,1,1,1
185,3200,48,not share,12,hua yuan xi hong shi ,116.36446000000001,39.77701,1,1,0
186,5500,69,not share,17,hua wei bei li ,116.465147,39.883302,1,1,1
187,3200,69,not share,6,guan yin si bei li ,116.356174,39.737213,2,1,1
188,5700,54,not share,7,tian qiao nan li ,116.402378,39.888952,1,1,1
189,2000,15,not share,19,jiao men dong li ,116.387828,39.852874,1,1,1
190,4600,38,not share,16,tian tian chao yang ,116.51608700000001,39.923147,1,1,0
191,5600,65,not share,21,bai rong jia yuan ,116.39900800000001,39.873692,2,1,1
192,5500,49,not share,6,si chou chang su she ,116.333652,40.054542,2,1,1
193,5600,57,not share,4,bei yuan 5 hao yuan er qu ,116.42914099999999,40.04247,2,1,1
194,4500,55,not share,6,shuang hui xiao qu ,116.581295,39.910614,1,1,1
195,5500,80,not share,6,yi qing yuan ,116.36729299999999,40.043059,3,1,1
196,4300,51,not share,6,shi liu yuan bei li xiao qu ,116.42331100000001,39.853178,1,1,1
197,5500,41,not share,6,jing song liu qu ,116.45874199999999,39.886928999999995,2,1,1
198,6000,44,not share,18,san li he lu 5 hao yuan ,116.3364,39.940908,1,1,1
199,4300,43,not share,6,xi luo yuan bei lu ,116.39478799999999,39.870996999999996,1,1,1
200,2100,33,not share,15,xiang yue si ji ,116.66592299999999,40.186753,1,1,0
201,4600,55,not share,6,jin xing xiao qu ,116.56023300000001,39.924347,2,1,1
202,5800,52,not share,19,ba li zhuang lu 62 hao yuan ,116.284401,39.934538,2,1,0
203,3500,57,not share,9,hong bo jia yuan A qu ,116.471427,39.831553,1,1,1
204,3400,92,not share,5,wen quan hua yuan B qu ,116.42229499999999,40.133927,2,2,1
205,5400,58,not share,20,ming tian di yi cheng 8 hao yuan ,116.4158,40.053354,2,1,0
206,5700,61,not share,22,nan sha tan xiao qu ,116.382525,40.005332,1,1,1
207,5200,47,not share,18,mo fang bei li ,116.480977,39.886406,1,1,1
208,3400,60,not share,6,ge bu dian nan li ,116.66844099999999,39.897465000000004,2,1,1
209,4600,52,not share,12,jia yuan san li ,116.37244299999999,39.848279999999995,1,1,1
210,5200,36,not share,6,zeng guang lu ,116.33926799999999,39.933402,1,1,1
211,3800,24,not share,28,shi ji jin se jia yuan ,116.378344,39.875262,1,1,0
212,4200,47,not share,6,cui lin er li ,116.37631100000002,39.865562,1,1,1
213,3900,57,not share,15,tian jiao jun yuan 8 hao yuan ,116.35843,39.830729,1,1,1
214,3000,121,not share,6,tian tang he ,116.334049,39.677479,3,2,1
215,2500,83,not share,6,ma po hua yuan yi qu ,116.661432,40.180564000000004,1,1,2
216,3600,58,not share,5,lu gou qiao nan li ,116.23870600000001,39.854003999999996,2,1,1
217,4500,83,not share,22,xin xing jia yuan ,116.27196,39.866506,2,1,1
218,5500,49,not share,6,si chou chang su she ,116.333652,40.054542,2,1,1
219,5600,65,not share,21,bai rong jia yuan ,116.39900800000001,39.873692,2,1,1
220,2500,43,not share,7,da cheng jun ,116.27423300000001,39.893609999999995,2,0,0
221,3700,89,not share,18,long guan guan hua yuan ,116.411367,40.126135,2,1,1
222,2200,35,not share,6,ying hua yuan er qu ,116.632799,40.031538,1,1,1
223,3400,60,not share,6,ge bu dian nan li ,116.66844099999999,39.897465000000004,2,1,1
224,4600,52,not share,12,jia yuan san li ,116.37244299999999,39.848279999999995,1,1,1
225,3500,48,not share,6,wu fang yuan ,116.233846,39.905003,1,1,1
226,4200,42,not share,16,nan mu xi yuan ,116.409066,39.861415,1,1,1
227,2600,20,not share,16,yang zhuang xiao qu ,116.20383000000001,39.925938,1,1,0
228,4000,47,not share,6,fu yuan li ,116.48246100000001,39.80652,1,1,1
229,4300,41,not share,6,wan zi jie she qu ,116.330551,39.891981,1,1,1
230,3900,27,not share,26,rong feng 2008 ,116.343245,39.900529,1,1,0
231,6000,66,not share,7,kang jia yuan ,116.520858,39.918846,2,1,1
232,3800,72,not share,18,bei jie jia yuan liu qu ,116.26506599999999,40.166068,2,1,1
233,3200,55,not share,6,xiao yue yuan yi li ,116.244883,39.847396999999994,1,1,1
234,5800,41,not share,7,ji men bei li ,116.356955,39.977595,1,1,1
235,6000,53,not share,22,mei jing dong fang ,116.47638,39.875690999999996,1,1,1
236,3500,89,not share,22,da fang ju ,116.63734,39.88191,2,1,1
237,5800,69,not share,3,jian cai cheng xi lu 41 hao yuan ,116.35441100000001,40.066474,2,1,1
238,5800,54,not share,29,guang qu jia yuan ,116.45565400000001,39.898084000000004,1,1,1
239,4500,49,not share,6,hong miao bei li ,116.48694099999999,39.927021999999994,2,1,1
240,3000,71,not share,25,he sheng shi jie cun ,116.551782,39.742837,2,1,0
241,3000,49,not share,19,feng chuang ke ji yuan ,116.574931,39.787887,1,1,0
242,5800,54,not share,29,guang qu jia yuan ,116.45565400000001,39.898084000000004,1,1,1
243,4500,49,not share,6,hong miao bei li ,116.48694099999999,39.927021999999994,2,1,1
244,5500,47,not share,10,liu lang jia yuan nan li ,116.304189,40.036204,1,1,1
245,3300,61,not share,21,ma sai gong guan ,116.321661,39.751033,1,1,1
246,2800,42,not share,13,dong ya shou hang guo ji ,116.60523899999998,40.134877,1,1,0
247,3400,49,not share,5,bei yuan 135 hao yuan ,116.64417399999999,39.914072999999995,2,1,1
248,4000,36,not share,6,bei wu su she ,116.311376,39.95358,1,1,1
249,5600,65,not share,13,lai zhen jia yuan ,116.35288200000001,40.05023,2,1,1
250,5100,45,not share,5,yong ding lu 15 hao ,116.27298,39.911932,2,1,1
251,4000,69,not share,18,yu hua yuan san li ,116.34003999999999,39.775896,1,1,1
252,5800,55,not share,6,shi fu ying xi li xiao qu ,116.505445,39.939085,1,1,1
253,4300,42,not share,29,shi ji xing ,116.441493,39.863696000000004,1,1,0
254,2700,38,not share,14,xu hui E tian di ,116.175752,39.728172,2,1,0
255,6000,56,not share,28,chao yue ju ,116.46727125853998,40.023348601392,1,1,1
256,4300,43,not share,6,cui lin er li ,116.37631100000002,39.865562,1,1,1
257,5800,41,not share,6,fu xing lu 61 hao yuan ,116.299198,39.915465000000005,1,1,1
258,6000,72,not share,28,hong shan jia yuan ,116.457526,39.8764,2,1,1
259,5800,60,not share,18,guan yue xin yuan B qu ,116.509377,39.879863,1,1,1
260,3400,77,not share,7,jing ke yuan ,116.25421200000001,40.216336,2,1,1
261,2600,66,not share,6,yu zhu yuan ,116.164506,39.731851,1,1,1
262,5800,60,not share,24,xing long jia yuan ,116.530553,39.921425,1,1,1
263,4400,68,not share,6,fu lian xiao qu ,116.553495,39.920646000000005,2,1,1
264,6000,84,not share,5,fa tou xi li ,116.52008000000001,39.870881,3,1,1
265,3800,69,not share,22,xiao yue xin yuan ,116.24790700000001,39.839983000000004,1,1,1
266,5500,47,not share,6,yong tai dong li ,116.36713700000001,40.040209000000004,1,1,1
267,5000,48,not share,19,song yu li ,116.47534099999999,39.880705,1,1,1
268,4800,46,not share,6,xin jian li xiao qu ,116.37591100000002,39.881969,1,1,1
269,5500,64,not share,6,ding fu zhuang nan li 1 hao yuan ,116.57168600000001,39.91706,2,1,1
270,4300,42,not share,29,shi ji xing ,116.441493,39.863696000000004,1,1,0
271,5700,55,not share,9,gan jia kou xiao qu ,116.336244,39.932195,1,1,1
272,3500,60,not share,6,ge bu dian nan li ,116.66844099999999,39.897465000000004,2,1,1
273,3200,62,not share,22,xiao yue yuan wu li ,116.24585,39.839535,1,1,1
274,5500,44,not share,21,xiao huang zhuang yi qu ,116.41618700000001,39.969551,1,1,1
275,5500,47,not share,6,yong tai dong li ,116.36713700000001,40.040209000000004,1,1,1
276,3400,51,not share,6,hong song yuan xiao qu ,116.56123000000001,39.968979,2,1,1
277,1100,19,not share,28,bei jie jia yuan wu qu ,116.27588,40.17221,1,1,0
278,4000,48,not share,6,xi ge xin li 110 hao yuan ,116.39684399999999,39.872512,1,1,1
279,4000,30,not share,11,dong ya san huan ,116.37785,39.842419,1,1,0
280,3500,80,not share,11,ka er gong yu ,116.501327,39.794025,2,1,1
281,4200,48,not share,10,you an men wai da jie ,116.37065,39.872937,1,1,1
282,3800,39,not share,6,yu quan lu jia 65 hao yuan ,116.258408,39.905019,1,1,1
283,5400,35,not share,12,wu yue hua ting ,116.37536599999999,39.958063,1,1,0
284,4000,47,not share,18,fu li you yi cheng C qu ,116.565026,39.853112,1,1,0
285,4500,54,not share,6,xi xing fu jie ,116.28901,39.858118,2,1,1
286,6000,46,not share,17,bei jing xiang su bei qu ,116.62150700000001,39.933755,2,2,0
287,4500,35,not share,20,ming tian di yi cheng 8 hao yuan ,116.4158,40.053354,1,1,0
288,6000,51,not share,18,hou xian dai cheng B qu ,116.49094699999999,39.905555,1,1,0
289,4500,55,not share,22,shuang he jia yuan ,116.53303100000001,39.861307000000004,1,1,1
290,2400,55,not share,12,lan qiao yi yuan ,116.41179699999999,39.717263,1,1,1
291,5800,43,not share,25,an hui li er qu ,116.41611699999999,39.999631,1,1,1
292,4700,36,not share,12,jing song san qu ,116.464926,39.88896,1,1,1
293,3200,59,not share,7,jin yu zi you zhu ,116.70368899999998,39.881771,2,1,0
294,4400,67,not share,6,yi lan yuan ,116.34520400000001,39.833793,2,1,1
295,4500,59,not share,24,chun yuan ,116.262442,39.897184,1,1,1
296,4000,55,not share,6,cheng zhuang lu 3 hao yuan ,116.27072,39.866703,2,1,1
297,3600,53,not share,7,gao xin jia yuan ,116.314273,39.798168,1,1,0
298,3500,90,not share,27,hai tang wan er qi ,116.67261599999999,39.87573,2,1,2
299,4700,48,not share,9,zhong jian ling long shan ,116.567799,39.909436,1,1,0
0,4800,50,not share,16,fu xing lu 46 hao yuan ,116.259844,39.912414,1,1,1
1,3600,61,not share,22,xiao yue yuan wu li ,116.24585,39.839535,1,1,1
2,3200,69,not share,6,guan yin si bei li ,116.356174,39.737213,2,1,1
3,2400,47,not share,11,jia he yi yuan ,116.655693,40.180093,1,1,1
4,4200,66,not share,16,yang guang xing yuan ,116.377536,39.799960999999996,2,1,1
5,6000,42,not share,6,xiao nan zhuang she qu ,116.31231000000001,39.971678999999995,1,1,0
6,2200,33,not share,15,xiang yue si ji ,116.66592299999999,40.186753,1,1,0
7,5500,55,not share,5,tian ning si qian jie nan li ,116.351201,39.897751,2,1,1
8,5800,62,not share,6,jin gou he 3 hao yuan ,116.276354,39.924299,2,1,1
9,3000,48,not share,6,a er fa she qu san qi ,116.65545800000001,39.876872,1,1,1
10,1550,27,not share,14,jia zhou shui jun Q ku ,116.17468000000001,39.774205,1,1,0
11,4500,36,not share,21,zhong hai yu xin ge ,116.30514299999999,39.825059,1,1,0
12,4000,55,not share,6,hui hua yuan ,116.322956,40.082757,1,1,1
13,5800,57,not share,6,ba li zhuang bei li xiao qu ,116.504397,39.92941,2,1,1
14,3200,83,not share,6,luo qi ying she qu yi qu ,116.378331,39.644839000000005,2,1,1
15,5600,38,not share,5,xiao huang zhuang qian jie 3 hao yuan ,116.42186399999999,39.970675,1,1,1
16,6000,70,not share,11,bao li jia yuan san hao yuan ,116.612342,39.935122,2,1,1
17,5600,39,not share,20,qing nian hui jia yuan ,116.521988,39.927428000000006,1,1,0
18,4500,102,not share,6,ju yuan li ,116.429726,39.793986,3,1,1
19,3600,56,not share,6,lu he zhong xue bei jie 26 hao yuan ,116.653848,39.905232,2,1,1
20,4700,46,not share,6,ping le yuan xiao qu ,116.487808,39.889853,1,1,1
21,3500,55,not share,29,fang heng dong jing ,116.694868,39.877962,1,1,0
22,4400,45,not share,6,xi luo yuan yi qu ,116.400929,39.866858,1,1,1
23,2950,49,not share,7,ma sai gong guan ,116.321661,39.751033,1,1,0
24,2900,65,not share,6,dong guan bei li xiao qu ,116.249524,40.233342,2,1,1
25,6000,57,not share,29,zhong guo tie jian guang chang ,116.447271,40.048621999999995,2,1,0
26,3200,56,not share,6,zhang feng yuan yi qu ,116.297141,39.789471,1,1,1
27,4200,109,not share,5,yi shi qing yuan ,116.554732,39.760616999999996,2,2,1
28,4500,50,not share,24,yuan zhong yue qi ,116.417472,39.862988,1,1,0
29,5400,35,not share,14,shui yun ju ,116.289093,39.941244,1,1,0
30,4900,54,not share,6,jing tai xi li ,116.419045,39.868693,2,1,1
31,3200,42,not share,18,yi xiu ming yuan ,116.650653,39.914862,1,1,0
32,5700,66,not share,28,hong shan jia yuan ,116.457526,39.8764,1,1,1
33,4300,67,not share,6,qi xing yuan ,116.221549,39.905466,2,1,1
